Meal,Item
Hamburgers,Cheese
Hamburgers,Ground beef
Hamburgers,Hamburger Buns
Hamburgers,Sweet Potatoes
Spaghetti,Angelhair Noodles
Spaghetti,Crushed Tomatoes
Spaghetti,Garlic
Spaghetti,Fresh Basil
Tacos,Ground Turkey
Tacos,Cheese
Tacos,Salsa
Tacos,Lettuce
Sloppy Joes,Ground Beef
Sloppy Joes,Tomato Paste
Sloppy Joes,Garlic
Sloppy Joes,Hamburger Buns
Sloppy Joes,Pickle Chips
Sloppy Joes,Ground Beef
Sloppy Joes,BBQ Sauce
Sloppy Joes,Green Beans
Sloppy Joes,Whole Grain Dijon Mustard
Sloppy Joes,Shallot
Sloppy Joes,Apple Cider Vinegar
Sloppy Joes,Roma Tomato
Spiced Pork Burgers,Pickled beats
Spiced Pork Burgers,Ground Pork
Spiced Pork Burgers,Hamburger Buns
Spiced Pork Burgers,Pickled beats
Spiced Pork Burgers,Mayonaise
Spiced Pork Burgers,Whole grain Dijon Mustard
Spiced Pork Burgers,Pork Burger Spice Blend
Hawiian Chicken,Chicken Breast
Hawiian Chicken,BBQ Sauce
Hawiian Chicken,Pineapple
Peperonata Pasta,Pasta
Peperonata Pasta,Cherry Tomatoes
Peperonata Pasta,Garlic
Peperonata Pasta,Parsley
Peperonata Pasta,Butter
Peperonata Pasta,Tomato Paste
Peperonata Pasta,Capers
Peperonata Pasta,Parmesan Cheese
Peperonata Pasta,Pine Nuts
Peperonata Pasta,Red Pepper Flakes
Pizza,Naan
Pizza ,Crushed Tomatoes
Pizza ,Pepperoni
Pizza ,Canadian Bacon
Pizza ,Pineapple
Pizza ,Fresh Basil
Pizza ,Garlic
Pepper Steak,Flank Steak
Pepper Steak,Garlic
Pepper Steak,Kale
Pepper Steak,Potato
Pepper Steak,Butter
Pepper Steak,Peppercorns
Pepper Steak,Whole Grain Dijon Mustard
BLT,Bacon
BLT,Sour Dough Bread
BLT,Lettuce
BLT,Eggs
BLT,Butter
BLT,Mayonaise
BLT,Tomatoes
Stir Fry,Snow Peas
Stir Fry,Beef
Stir Fry,Water Chestnuts
Stir Fry,Bell Peppers
Stir Fry,Carrots
Stir Fry,Broccoli
Stir Fry,Stir Fry Sauce
Stir Fry,Olive Oil
Meatloaf,Hamburger
Meatloaf,Eggs
Meatloaf,Breadcrumbs
Meatloaf,Milk
Meatloaf,Ketchup
Meatloaf,Mustard
Meatloaf,Brown sugar
Meatloaf,Onion
Tomato Stoup,Roasted red pepper tomato soup
Tomato Stoup,Red/Yellow Pepper
Tomato Stoup,Pepper
Tomato Stoup,Salt
Tomato Stoup,Tortollini
Tomato Stoup,Zuchinni
Tomato Stoup,Carrots
Tomato Stoup,Onion
Tomato Stoup,Peas
Tomato Stoup,Corn
Chicken Pot Pie,Flour
Chicken Pot Pie,Mixed vegetables
Chicken Pot Pie,Dried parsley
Chicken Pot Pie,Butter
Chicken Pot Pie,Pie Crust
Chicken Pot Pie,Chicken Broth
Chicken Pot Pie,Shredded Chicken
Chicken Pot Pie,Eggs
Enchilada,Shredded Chicken
Enchilada,Cream of Chicken
Enchilada,Sour Cream
Enchilada,Tortilla
Enchilada,Cheese
Enchilada,Enchilada sauce
Chilli ,Crushed Tomatoes
Chilli ,Diced Tomatoes
Chilli ,Chicken Broth
Chilli ,Kidney beans
Chilli ,Spicy beans
Chilli ,Ground meat
Chilli ,Onion
Chilli ,Green Pepper
Chilli ,Chilli Powder
Chlli,Garlic
Chilli ,Chilli Spices
Carbonara,Fresh Pasta
Carbonara,Bacon
Carbonara,Peas
Carbonara,Red pepper
Carbonara,Eggs
Carbonara,Chicken breast
Tater tot hot dish,Ground meat
Tater tot hot dish,Cream of Chicken
Tater tot hot dish,Milk
Tater tot hot dish,Green Beans
Tater tot hot dish,Onion
Tater tot hot dish,Tater tots
Curry,Curry paste
Curry,Chicken breast
Curry,Sweet Potatoes
Curry,Carrots
Curry,Chicken broth
Curry,Rice
Curry,Lime
Curry,Red pepper 
Roasted Chicken w/ Apple,Chicken breast
Roasted Chicken w/ Apple,Apple Cider Vinegar
Roasted Chicken w/ Apple,Apple
Roasted Chicken w/ Apple,Potato
Roasted Chicken w/ Apple,Shallot
Roasted Chicken w/ Apple,Almonds
Roasted Chicken w/ Apple,Fresh sage
Roasted Chicken w/ Apple,Butter
